Timestamp,"Discord ID (e.g., WritingFates#7355)",Evil Geniuses Vs Gamin Gladiators (Bo2) [1pt],PSG.LGD Vs Execration (Bo2) [1pt],9 Pandas Vs TSM (Bo2) [1pt],BetBoom Team Vs Team Aster (Bo2) [1pt],Tundra Esports Vs Team Spirit (Bo2) [1pt],Talon Esports Vs Beastcoast (Bo2) [1pt],Shopify Rebellion Vs Invictus Gaming (Bo2) [1pt],Team SMG Vs OG (Bo2) [1pt],Team Liquid Vs Team Aster (Bo2) [1pt],TSM Vs BetBoom Team (Bo2) [1pt],PSG.LGD Vs Gamin Gladiators (Bo2) [1pt],Execration Vs Evil Geniuses (Bo2) [1pt],Xtreme Gaming Vs OG (Bo2) [1pt],Team Spirit Vs Shopify Rebellion (Bo2) [1pt],Invictus Gaming Vs Tundra Esports (Bo2) [1pt],Beastcoast Vs Team SMG (Bo2) [1pt]
4/24/2023 19:38:39,WritingFates#7355,Gamin Gladiators Victory,PSG.LGD Victory,Tie,Tie,Tie,Tie,Shopify Rebellion Victory,Tie,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,Tie,Tie,Tie,Tie
4/24/2023 19:39:56,DAVID CHANG FANBOY#5999,Gamin Gladiators Victory,Tie,Tie,BetBoom Team Victory,Tie,Tie,Shopify Rebellion Victory,OG Victory,Team Liquid Victory,BetBoom Team Victory,Gamin Gladiators Victory,Evil Geniuses Victory,OG Victory,Shopify Rebellion Victory,Tundra Esports Victory,Beastcoast Victory
4/24/2023 19:44:14,eonden#0225,Gamin Gladiators Victory,PSG.LGD Victory,Tie,Tie,Tie,Beastcoast Victory,Shopify Rebellion Victory,Tie,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,Xtreme Gaming Victory,Tie,Tundra Esports Victory,Beastcoast Victory
4/24/2023 19:45:21,Tino_#8214,Gamin Gladiators Victory,Tie,Tie,Tie,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,Team SMG Victory,Team Liquid Victory,Tie,Gamin Gladiators Victory,Tie,OG Victory,Shopify Rebellion Victory,Tundra Esports Victory,Tie
4/24/2023 19:46:34,Vermilion#1729,Gamin Gladiators Victory,Tie,TSM Victory,Team Aster Victory,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,Team SMG Victory,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,OG Victory,Shopify Rebellion Victory,Tie,Beastcoast Victory
4/24/2023 19:50:51,Xan#0115,Gamin Gladiators Victory,PSG.LGD Victory,TSM Victory,BetBoom Team Victory,Tie,Beastcoast Victory,Shopify Rebellion Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Gamin Gladiators Victory,Tie,Tie,Tie,Tie,Beastcoast Victory
4/24/2023 19:53:59,Asway#9085,Gamin Gladiators Victory,PSG.LGD Victory,9 Pandas Victory,Team Aster Victory,Tundra Esports Victory,Tie,Shopify Rebellion Victory,OG Victory,Tie,Tie,Gamin Gladiators Victory,Tie,Tie,Shopify Rebellion Victory,Tundra Esports Victory,Tie
4/24/2023 19:56:37,cuddlz#9368,Gamin Gladiators Victory,Tie,TSM Victory,Team Aster Victory,Tie,Tie,Shopify Rebellion Victory,OG Victory,Team Liquid Victory,TSM Victory,Gamin Gladiators Victory,Evil Geniuses Victory,OG Victory,Shopify Rebellion Victory,Tundra Esports Victory,Beastcoast Victory
4/24/2023 20:01:03,Rucket#8610,Gamin Gladiators Victory,PSG.LGD Victory,TSM Victory,Tie,Tie,Talon Esports Victory,Shopify Rebellion Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Gamin Gladiators Victory,Evil Geniuses Victory,Tie,Tie,Tie,Beastcoast Victory
4/24/2023 20:09:30,[/dev/grohl]#3505,Gamin Gladiators Victory,Execration Victory,TSM Victory,BetBoom Team Victory,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,OG Victory,Team Liquid Victory,BetBoom Team Victory,Gamin Gladiators Victory,Evil Geniuses Victory,Tie,Tie,Tundra Esports Victory,Tie
4/24/2023 20:09:58,PriscillAAH#6969,Gamin Gladiators Victory,PSG.LGD Victory,Tie,Tie,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,OG Victory,Team Liquid Victory,BetBoom Team Victory,Gamin Gladiators Victory,Evil Geniuses Victory,OG Victory,Shopify Rebellion Victory,Tundra Esports Victory,Beastcoast Victory
4/24/2023 20:11:00,Bridge(4)Burner#2302,Gamin Gladiators Victory,Tie,TSM Victory,Tie,Tie,Beastcoast Victory,Shopify Rebellion Victory,Tie,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,Tie,Tie,Tundra Esports Victory,Tie
4/24/2023 20:21:40,Puppets#4815,Gamin Gladiators Victory,Tie,Tie,Team Aster Victory,Tie,Beastcoast Victory,Tie,Tie,Tie,Tie,Gamin Gladiators Victory,Tie,OG Victory,Tie,Tie,Beastcoast Victory
4/24/2023 20:31:39,Bammboo#9725,Evil Geniuses Victory,PSG.LGD Victory,Tie,Team Aster Victory,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,Team SMG Victory,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,Xtreme Gaming Victory,Shopify Rebellion Victory,Tie,Beastcoast Victory
4/24/2023 20:44:47,Super#2825,Gamin Gladiators Victory,Execration Victory,TSM Victory,Tie,Tie,Talon Esports Victory,Shopify Rebellion Victory,OG Victory,Team Liquid Victory,BetBoom Team Victory,Gamin Gladiators Victory,Tie,Tie,Shopify Rebellion Victory,Tie,Beastcoast Victory
4/24/2023 20:45:08,GIRbazk#9938,Gamin Gladiators Victory,Tie,Tie,BetBoom Team Victory,Tundra Esports Victory,Talon Esports Victory,Shopify Rebellion Victory,Tie,Team Liquid Victory,TSM Victory,Gamin Gladiators Victory,Evil Geniuses Victory,OG Victory,Team Spirit Victory,Tundra Esports Victory,Beastcoast Victory
4/24/2023 21:25:19,oppressive_hat#8015,Gamin Gladiators Victory,Tie,Tie,Tie,Tie,Beastcoast Victory,Tie,Tie,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,Xtreme Gaming Victory,Tie,Tie,Beastcoast Victory
4/24/2023 21:32:26,Waltz#8509,Gamin Gladiators Victory,PSG.LGD Victory,TSM Victory,Tie,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,Tie,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,OG Victory,Shopify Rebellion Victory,Tundra Esports Victory,Tie
4/24/2023 21:33:56,Cakes#6969,Gamin Gladiators Victory,Tie,TSM Victory,BetBoom Team Victory,Tundra Esports Victory,Talon Esports Victory,Shopify Rebellion Victory,OG Victory,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,Xtreme Gaming Victory,Shopify Rebellion Victory,Tundra Esports Victory,Tie
4/24/2023 21:38:03,BeefBomber#8977,Tie,PSG.LGD Victory,TSM Victory,Tie,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,Tie,Team Liquid Victory,Tie,PSG.LGD Victory,Tie,Tie,Tie,Tundra Esports Victory,Beastcoast Victory
4/24/2023 22:56:37,SliceofToast#1845,Gamin Gladiators Victory,PSG.LGD Victory,Tie,Tie,Tie,Beastcoast Victory,Shopify Rebellion Victory,Tie,Team Liquid Victory,Tie,Tie,Tie,Tie,Shopify Rebellion Victory,Tie,Tie
4/24/2023 23:34:45,Amity,Gamin Gladiators Victory,Tie,Tie,Tie,Tie,Tie,Shopify Rebellion Victory,Tie,Team Liquid Victory,Tie,Gamin Gladiators Victory,Tie,OG Victory,Tie,Tundra Esports Victory,Beastcoast Victory
4/24/2023 23:59:29,Gimpyjoe#6408,Gamin Gladiators Victory,Tie,Tie,Team Aster Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory,Team SMG Victory,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,Tie,Tie,Tie,Beastcoast Victory
4/25/2023 2:46:06,OXD#9696,Gamin Gladiators Victory,PSG.LGD Victory,TSM Victory,BetBoom Team Victory,Tie,Tie,Tie,OG Victory,Team Liquid Victory,BetBoom Team Victory,Gamin Gladiators Victory,Evil Geniuses Victory,Xtreme Gaming Victory,Tie,Tie,Beastcoast Victory
4/25/2023 4:29:34,pwningdude#4628,Evil Geniuses Victory,PSG.LGD Victory,TSM Victory,Tie,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory,OG Victory,Team Liquid Victory,TSM Victory,Tie,Evil Geniuses Victory,OG Victory,Team Spirit Victory,Invictus Gaming Victory,Beastcoast Victory
4/25/2023 6:05:54,Vuvuzela Virtuoso Hans Rudolph#9703,Gamin Gladiators Victory,PSG.LGD Victory,Tie,Tie,Tie,Tie,Shopify Rebellion Victory,Tie,Team Liquid Victory,Tie,Gamin Gladiators Victory,Evil Geniuses Victory,Xtreme Gaming Victory,Tie,Tundra Esports Victory,Tie
4/25/2023 6:53:47,srinjit_v#5746,Tie,PSG.LGD Victory,Tie,Team Aster Victory,Tie,Talon Esports Victory,Shopify Rebellion Victory,Tie,Team Liquid Victory,TSM Victory,PSG.LGD Victory,Evil Geniuses Victory,Xtreme Gaming Victory,Team Spirit Victory,Tie,Beastcoast Victory
