Timestamp,"Discord ID (e.g., WritingFates#7355) ",PSG.LGD vs Evil Geniuses (Bo2) [1pt],Gaimin Gladiators vs BetBoom Team (Bo2) [1pt],Team Liquid vs 9 Pandas (Bo2) [1pt],Execration vs Team Aster (Bo2) [1pt],Team Liquid vs BetBoom Team (Bo2) [1pt],TSM vs Evil Geniuses (Bo2) [1pt],9 Pandas vs Team Aster (Bo2) [1pt],Execration vs Gaimin Gladiators (Bo2) [1pt],Xtreme Gaming vs Talon Esports (Bo2) [1pt],Tundra Esports vs Shopify Rebellion (Bo2) [1pt],Team Spirit vs OG (Bo2) [1pt],Invictus Gaming vs Team SMG (Bo2) [1pt],beastcoast vs Shopify Rebellion (Bo2) [1pt],Talon Esports vs OG (Bo2) [1pt],Team Spirit vs Invictus Gaming (Bo2) [1pt],Xtreme Gaming vs Team SMG (Bo2) [1pt]
4/26/2023 20:27:06,cuddlz#9368,PSG.LGD Victory,Gaimin Gladiators Victory,Team Liquid Victory,Team Aster Victory,Team Liquid Victory,Evil Geniuses Victory,Team Aster Victory,Gaimin Gladiators Victory,Tie,Tie,OG Victory,Tie,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team SMG Victory
4/26/2023 20:36:11,OXD#9696,Tie,Tie,Tie,Team Aster Victory,Tie,Evil Geniuses Victory,9 Pandas Victory,Gaimin Gladiators Victory,Tie,Tie,OG Victory,Tie,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Tie
4/26/2023 20:37:39,Vuvuzela Virtuoso Hans Rudolph#9703,Tie,Gaimin Gladiators Victory,Team Liquid Victory,Team Aster Victory,Team Liquid Victory,Evil Geniuses Victory,Team Aster Victory,Gaimin Gladiators Victory,Xtreme Gaming Victory,Tie,Tie,Invictus Gaming Victory,Tie,Tie,Team Spirit Victory,Xtreme Gaming Victory
4/26/2023 20:38:32,Gimpyjoe#6408,Tie,Gaimin Gladiators Victory,Team Liquid Victory,Team Aster Victory,Team Liquid Victory,Evil Geniuses Victory,Team Aster Victory,Gaimin Gladiators Victory,Tie,Shopify Rebellion Victory,Team Spirit Victory,Tie,Tie,Talon Esports Victory,Tie,Tie
4/26/2023 20:42:33,Powder#0703,Tie,Tie,Team Liquid Victory,Tie,Tie,Evil Geniuses Victory,Tie,Gaimin Gladiators Victory,Tie,Tie,Tie,Tie,Tie,Tie,Team Spirit Victory,Tie
4/26/2023 20:46:02,DAVID CHANG FANBOY#5999,Tie,Gaimin Gladiators Victory,Team Liquid Victory,Team Aster Victory,Team Liquid Victory,Evil Geniuses Victory,Team Aster Victory,Gaimin Gladiators Victory,Talon Esports Victory,Tie,Tie,Invictus Gaming Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Tie
4/26/2023 20:46:42,EgoErc#5563,Tie,Gaimin Gladiators Victory,Tie,Team Aster Victory,Team Liquid Victory,Evil Geniuses Victory,Tie,Gaimin Gladiators Victory,Talon Esports Victory,Tie,Tie,Tie,Tie,Tie,Team Spirit Victory,Tie
4/26/2023 20:48:06,[/dev/grohl]#3505,Tie,Gaimin Gladiators Victory,Team Liquid Victory,Team Aster Victory,Team Liquid Victory,Tie,Team Aster Victory,Gaimin Gladiators Victory,Talon Esports Victory,Shopify Rebellion Victory,OG Victory,Tie,Shopify Rebellion Victory,OG Victory,Tie,Xtreme Gaming Victory
4/26/2023 20:49:07,Doxs#7061,Tie,Tie,Tie,Team Aster Victory,Tie,Evil Geniuses Victory,Tie,Gaimin Gladiators Victory,Tie,Tie,Tie,Tie,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Xtreme Gaming Victory
4/26/2023 20:56:45,Kit#4497,Tie,Gaimin Gladiators Victory,Tie,Tie,Tie,Tie,Tie,Gaimin Gladiators Victory,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie
4/26/2023 20:59:45,Asway#9085,PSG.LGD Victory,Gaimin Gladiators Victory,Team Liquid Victory,Team Aster Victory,Team Liquid Victory,Tie,Tie,Gaimin Gladiators Victory,Tie,Tie,Tie,Invictus Gaming Victory,Tie,OG Victory,Team Spirit Victory,Xtreme Gaming Victory
4/26/2023 21:00:22,Essex#7927,Tie,Tie,Team Liquid Victory,Team Aster Victory,Tie,Evil Geniuses Victory,9 Pandas Victory,Gaimin Gladiators Victory,Tie,Shopify Rebellion Victory,Tie,Invictus Gaming Victory,Tie,OG Victory,Team Spirit Victory,Team SMG Victory
4/26/2023 21:19:40,Tino_#8214,Evil Geniuses Victory,Gaimin Gladiators Victory,Tie,Team Aster Victory,Team Liquid Victory,Evil Geniuses Victory,9 Pandas Victory,Gaimin Gladiators Victory,Tie,Tie,Tie,Team SMG Victory,Shopify Rebellion Victory,Tie,Tie,Xtreme Gaming Victory
4/26/2023 21:29:50,Amity ,Evil Geniuses Victory,Tie,Tie,Team Aster Victory,Tie,Evil Geniuses Victory,Tie,Gaimin Gladiators Victory,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie
