Timestamp,"Discord ID (e.g., WritingFates#7355)",9 Pandas Vs PSG.LGD (Bo2) [1pt],Team Liquid Vs TSM (Bo2) [1pt],Gamin Gladiators Vs Team Aster (Bo2) [1pt],Evil Geniuses Vs BetBoom Team (Bo2) [1pt],Invictus Gaming Vs OG (Bo2) [1pt],Talon Esports Vs Tundra Esports (Bo2) [1pt],Xtreme Gaming Vs Beastcoast (Bo2) [1pt],Shopify Rebellion Vs Team SMG (Bo2) [1pt],Team Liquid Vs Gamin Gladiators (Bo2) [1pt],9 Pandas Vs BetBoom Team (Bo2) [1pt],TSM Vs Execration (Bo2) [1pt],PSG.LGD Vs Team Aster (Bo2) [1pt],Beastcaost Vs Team Spirit (Bo2) [1pt],Tundra Esports Vs OG (Bo2) [1pt],Xtreme Gaming Vs Invictus Gaming (Bo2) [1pt],Talon Esports Vs Team SMG (Bo2) [1pt]
4/26/2023 19:59:24,DAVID CHANG FANBOY#5999,Tie,Team Liquid Victory,Gamin Gladiators Victory,Evil Geniuses Victory,OG Victory,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,Tie,9 Pandas Victory,Execration Victory,PSG.LGD Victory,Beastcoast Victory,OG Victory,Xtreme Gaming Victory,Talon Esports Victory
4/26/2023 19:59:32,eonden#0225,Tie,Team Liquid Victory,Gamin Gladiators Victory,Tie,Tie,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,Tie,Tie,TSM Victory,PSG.LGD Victory,Team Spirit Victory,Tundra Esports Victory,Tie,Talon Esports Victory
4/26/2023 20:26:15,Bammboo#9725,9 Pandas Victory,Tie,Tie,Evil Geniuses Victory,Invictus Gaming Victory,Tundra Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,Team Liquid Victory,9 Pandas Victory,TSM Victory,Team Aster Victory,Beastcoast Victory,Tundra Esports Victory,Invictus Gaming Victory,Talon Esports Victory
4/26/2023 20:37:01,Kit#4497,Tie,Team Liquid Victory,Gamin Gladiators Victory,Tie,Tie,Tundra Esports Victory,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie
4/26/2023 20:54:37,seebs#2998,Tie,Team Liquid Victory,Tie,Tie,OG Victory,Tundra Esports Victory,Tie,Shopify Rebellion Victory,Tie,Tie,TSM Victory,Tie,Tie,Tie,Tie,Tie
4/27/2023 0:17:12,Shap Daddy Happenin#5704,9 Pandas Victory,Team Liquid Victory,Tie,Evil Geniuses Victory,Invictus Gaming Victory,Talon Esports Victory,Xtreme Gaming Victory,Shopify Rebellion Victory,Tie,BetBoom Team Victory,Execration Victory,Tie,Team Spirit Victory,Tundra Esports Victory,Tie,Talon Esports Victory
4/27/2023 1:18:27,pwningdude#4628,Tie,Team Liquid Victory,Tie,Evil Geniuses Victory,OG Victory,Talon Esports Victory,Beastcoast Victory,Shopify Rebellion Victory,Gamin Gladiators Victory,9 Pandas Victory,TSM Victory,Team Aster Victory,Beastcoast Victory,OG Victory,Invictus Gaming Victory,Team SMG Victory
4/27/2023 3:29:45,Powder#0703,Tie,Team Liquid Victory,Gamin Gladiators Victory,Tie,Tie,Tie,Tie,Shopify Rebellion Victory,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie
4/27/2023 3:55:50,Cakes#6969,PSG.LGD Victory,Team Liquid Victory,Gamin Gladiators Victory,Tie,Tie,Tie,Tie,Shopify Rebellion Victory,Team Liquid Victory,9 Pandas Victory,TSM Victory,Team Aster Victory,Beastcoast Victory,Tundra Esports Victory,Xtreme Gaming Victory,Talon Esports Victory
4/27/2023 4:05:33,Tetsuya#9625,Tie,Team Liquid Victory,Tie,Tie,OG Victory,Tie,Tie,Shopify Rebellion Victory,Tie,Tie,Tie,Tie,Tie,Tie,Xtreme Gaming Victory,Tie
,,,,,,,,,,,,,,,,,
4/27/2023 20:21:41,Puppets#4815,Tie,Team Liquid Victory,Tie,BetBoom Team Victory,OG Victory,Tie,Beastcoast Victory,Tie,Team Liquid Victory,9 Pandas Victory,Tie,Team Aster Victory,Tie,OG Victory,Tie,Tie
