Timestamp,"Discord ID (e.g., WritingFates#7355)",PSG.LGD Vs BetBoom Team (Bo2) [1pt],TSM Vs Gaimin Gladiators (Bo2) [1pt],Team Liquid Vs Evil Geniuses (Bo2) [1pt],9 Pandas Vs Execration (Bo2) [1pt],Tundra Esports Vs Team SMG (Bo2) [1pt],Talon Esports Vs Team Spirit (Bo2) [1pt],Beastcoast Vs Invictus Gaming (Bo2) [1pt],Xtreme Gaming Vs Shopify Rebellion (Bo2) [1pt]
4/29/2023 20:15:00,eonden#0225,Tie,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/29/2023 20:17:49,[/dev/grohl]#3505,PSG.LGD Victory,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Tie,Beastcoast Victory,Shopify Rebellion Victory
4/29/2023 20:19:39,Tino_#8214,BetBoom Team Victory,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Tie,Beastcoast Victory,Shopify Rebellion Victory
4/29/2023 20:20:34,WritingFates#7355,Tie,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Tie,Shopify Rebellion Victory
4/29/2023 20:22:51,Kit#4497,Tie,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Tie,Tie,Tie
4/29/2023 20:23:09,PriscillAAH#6969,Tie,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/29/2023 20:59:41,Powdee#0703,Tie,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Tie,Tie,Shopify Rebellion Victory
4/29/2023 21:11:13,Sidd#1337,PSG.LGD Victory,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/29/2023 21:29:53,Asway#9085,PSG.LGD Victory,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/29/2023 21:30:57,Vuvuzela Virtuoso Hans Rudolph#9703,Tie,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/29/2023 22:10:24,oppressive_hat#8015,Tie,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tie,Tie,Tie,Shopify Rebellion Victory
4/29/2023 22:21:40,srinjit_v#5746,PSG.LGD Victory,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Tie,Tie,Tie
4/29/2023 22:21:47,Puppets#4815,Tie,Gaimin Gladiators Victory,Tie,Tie,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/29/2023 23:26:54,Rucket#8610,PSG.LGD Victory,Gaimin Gladiators Victory,Evil Geniuses Victory,9 Pandas Victory,Tundra Esports Victory,Tie,Tie,Shopify Rebellion Victory
4/30/2023 0:27:25,EgoErc#5563,Tie,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Tie,Shopify Rebellion Victory
4/30/2023 0:37:45,Shap Daddy Happenin#5704,BetBoom Team Victory,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/30/2023 0:49:09,Super#2825 ,PSG.LGD Victory,Gaimin Gladiators Victory,Tie,Tie,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/30/2023 2:07:34,GIRbazk#9938,BetBoom Team Victory,Tie,Team Liquid Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/30/2023 3:06:16,Gimpyjoe#6408,Tie,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Tie,Shopify Rebellion Victory
4/30/2023 4:18:07,cuddlz#9368,PSG.LGD Victory,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/30/2023 6:22:03,OXD#9696,BetBoom Team Victory,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
4/30/2023 7:08:42,Amity ,PSG.LGD Victory,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Tie,Beastcoast Victory,Shopify Rebellion Victory
4/30/2023 8:06:03,The_Blackbird#4337,Tie,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Tie,Beastcoast Victory,Shopify Rebellion Victory
4/30/2023 8:14:09,Vermilion#1729,PSG.LGD Victory,Gaimin Gladiators Victory,Team Liquid Victory,9 Pandas Victory,Tundra Esports Victory,Tie,Tie,Tie
4/30/2023 8:33:09,Bridge(4)Burner#2302,Tie,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Tie,Tie
4/30/2023 8:50:09,Bammboo#9725,Tie,TSM Victory,Tie,Tie,Tie,Tie,Beastcoast Victory,Tie
4/30/2023 10:36:36,GMT#2046,Tie,Gaimin Gladiators Victory,Tie,9 Pandas Victory,Tundra Esports Victory,Team Spirit Victory,Beastcoast Victory,Shopify Rebellion Victory
